player_id,player_display_name,position,team,opponent_team,season,week,projected_pts,ceiling_pts,projection_units,implied_team_total
00-0037834,Brock Purdy,QB,SF,MIA,2026,2,21.352851044768457,29.762851044768457,direct_dk_points,29.25
00-0034857,Josh Allen,QB,BUF,DET,2026,2,20.791056921499667,29.201056921499667,direct_dk_points,29.0
00-0033077,Dak Prescott,QB,DAL,WAS,2026,2,20.160701715678,28.570701715678002,direct_dk_points,27.0
00-0036355,Justin Herbert,QB,LAC,LV,2026,2,19.95558095214229,28.36558095214229,direct_dk_points,25.25
00-0039910,Jayden Daniels,QB,WAS,DAL,2026,2,19.339458147295502,27.749458147295503,direct_dk_points,23.5
00-0039851,Drake Maye,QB,NE,PIT,2026,2,18.879414405562443,27.289414405562443,direct_dk_points,23.75
00-0026498,Matthew Stafford,QB,LA,NYG,2026,2,18.765752961360704,27.175752961360704,direct_dk_points,27.75
00-0036971,Trevor Lawrence,QB,JAX,DEN,2026,2,18.50660997382977,26.91660997382977,direct_dk_points,21.0
00-0036389,Jalen Hurts,QB,PHI,TEN,2026,2,18.43316821454934,26.84316821454934,direct_dk_points,23.25
00-0033873,Patrick Mahomes,QB,KC,IND,2026,2,18.41132744745434,26.82132744745434,direct_dk_points,27.0
00-0039918,Caleb Williams,QB,CHI,MIN,2026,2,18.343130442277314,26.753130442277314,direct_dk_points,27.5
00-0034855,Baker Mayfield,QB,TB,CLE,2026,2,18.220563615343302,26.630563615343302,direct_dk_points,24.5
00-0039732,Bo Nix,QB,DEN,JAX,2026,2,18.200572082000434,26.610572082000434,direct_dk_points,23.5
00-0039150,Bryce Young,QB,CAR,ATL,2026,2,17.86988677318952,26.27988677318952,direct_dk_points,22.5
00-0039163,C.J. Stroud,QB,HOU,CIN,2026,2,17.42798982179276,25.83798982179276,direct_dk_points,24.75
00-0040691,Jaxson Dart,QB,NYG,LA,2026,2,17.374118329439305,25.784118329439305,direct_dk_points,20.75
00-0034796,Lamar Jackson,QB,BAL,NO,2026,2,17.357140273510485,25.767140273510485,direct_dk_points,27.75
00-0036264,Jordan Love,QB,GB,NYJ,2026,2,17.250255630688628,25.660255630688628,direct_dk_points,24.25
00-0032950,Carson Wentz,QB,MIN,CHI,2026,2,17.080631668379993,25.490631668379994,direct_dk_points,22.0
00-0036442,Joe Burrow,QB,CIN,HOU,2026,2,16.71125937959694,25.12125937959694,direct_dk_points,21.75
00-0033106,Jared Goff,QB,DET,BUF,2026,2,16.043488119134906,24.453488119134906,direct_dk_points,24.5
00-0040743,Tyler Shough,QB,NO,BAL,2026,2,16.039728169812776,24.449728169812776,direct_dk_points,19.25
00-0033119,Jacoby Brissett,QB,ARI,SEA,2026,2,15.504968621199389,23.91496862119939,direct_dk_points,18.5
00-0030565,Geno Smith,QB,NYJ,GB,2026,2,14.892294489832972,23.302294489832974,direct_dk_points,20.25
00-0035710,Daniel Jones,QB,IND,KC,2026,2,14.809753104177313,23.219753104177315,direct_dk_points,20.5
00-0023459,Aaron Rodgers,QB,PIT,NE,2026,2,14.028441530213076,22.438441530213076,direct_dk_points,18.25
00-0040676,Cam Ward,QB,TEN,PHI,2026,2,13.695035094435257,22.10503509443526,direct_dk_points,16.25
00-0029604,Kirk Cousins,QB,LV,LAC,2026,2,13.619458907034687,22.029458907034687,direct_dk_points,18.25
00-0038128,Malik Willis,QB,MIA,SF,2026,2,13.174685656276,21.584685656276,direct_dk_points,16.25
00-0033537,Deshaun Watson,QB,CLE,TB,2026,2,12.639281578783578,21.049281578783578,direct_dk_points,16.0
00-0035704,Drew Lock,QB,SEA,ARI,2026,2,11.444317057104119,19.85431705710412,direct_dk_points,23.0
00-0033662,Cooper Rush,QB,ATL,CAR,2026,2,10.546611016005752,18.956611016005752,direct_dk_points,21.0
00-0033280,Christian McCaffrey,RB,SF,MIA,2026,2,21.994574573399852,27.21457457339985,direct_dk_points,29.25
00-0038542,Bijan Robinson,RB,ATL,CAR,2026,2,19.758978981933737,24.978978981933736,direct_dk_points,21.0
00-0032764,Derrick Henry,RB,BAL,NO,2026,2,18.4247678155228,23.644767815522798,direct_dk_points,27.75
00-0037248,James Cook,RB,BUF,DET,2026,2,18.219736762108234,23.439736762108232,direct_dk_points,29.0
00-0040666,Omarion Hampton,RB,LAC,LV,2026,2,17.014987556798815,22.234987556798814,direct_dk_points,25.25
00-0037840,Kyren Williams,RB,LA,NYG,2026,2,16.534532792174517,21.754532792174516,direct_dk_points,27.75
00-0034844,Saquon Barkley,RB,PHI,TEN,2026,2,15.837736872370819,21.057736872370818,direct_dk_points,23.25
00-0039139,Jahmyr Gibbs,RB,DET,BUF,2026,2,15.745866577415299,20.965866577415298,direct_dk_points,24.5
00-0038597,Chase Brown,RB,CIN,HOU,2026,2,15.49847456908196,20.71847456908196,direct_dk_points,21.75
00-0036275,D'Andre Swift,RB,CHI,MIN,2026,2,14.954233491605482,20.17423349160548,direct_dk_points,27.5
00-0040122,Ashton Jeanty,RB,LV,LAC,2026,2,14.85719317984973,20.07719317984973,direct_dk_points,18.25
00-0036223,Jonathan Taylor,RB,IND,KC,2026,2,14.725787263834997,19.945787263834998,direct_dk_points,20.5
00-0033293,Aaron Jones,RB,MIN,CHI,2026,2,14.063936444472594,19.283936444472594,direct_dk_points,22.0
00-0038120,Breece Hall,RB,NYJ,GB,2026,2,13.920872331190411,19.140872331190412,direct_dk_points,20.25
00-0036997,Javonte Williams,RB,DAL,WAS,2026,2,13.24763796508298,18.46763796508298,direct_dk_points,27.0
00-0039040,De'Von Achane,RB,MIA,SF,2026,2,13.199717314815521,18.41971731481552,direct_dk_points,16.25
00-0040730,RJ Harvey,RB,DEN,JAX,2026,2,12.39563755940287,17.61563755940287,direct_dk_points,23.5
